name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS M30B4M2-PPM20C-S04G;Уточнить цену;"Артикул; BCS M30B4M2-PPM20C-S04G; Код товара; BCS004T; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4m2_ppm20c_s04g/;BCS004T;;;;BCS M30B4M2-PPM20C-S04G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS R08RRE-PIM80C-EP00,3-GS04;Уточнить цену;"Артикул; BCS R08RRE-PIM80C-EP00,3-GS04; Код товара; BCS012N; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_r08rre_pim80c_ep00_3_gs04/;BCS012N;;;;BCS R08RRE-PIM80C-EP00,3-GS04;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22V4M1-PSC10C-EV02;Уточнить цену;"Артикул; BCS D22V4M1-PSC10C-EV02; Код товара; BCS0033; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22v4m1_psc10c_ev02/;BCS0033;;;;BCS D22V4M1-PSC10C-EV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D30B4M3-PPC20C-EP02;Уточнить цену;"Артикул; BCS D30B4M3-PPC20C-EP02; Код товара; BCS004H; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30b4m3_ppc20c_ep02/;BCS004H;;;;BCS D30B4M3-PPC20C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D30T401-POC15C-EP02;Уточнить цену;"Артикул; BCS D30T401-POC15C-EP02; Код товара; BCS003C; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_poc15c_ep02/;BCS003C;;;;BCS D30T401-POC15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-POM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-POM15C-S49G; Код товара; BCS001T; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_pom15c_s49g/;BCS001T;;;;BCS G06T4D2-POM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-PSM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-PSM15C-S49G; Код товара; BCS001R; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_psm15c_s49g/;BCS001R;;;;BCS G06T4D2-PSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4E1-POM15C-EP02;Уточнить цену;"Артикул; BCS G06T4E1-POM15C-EP02; Код товара; BCS001M; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_pom15c_ep02/;BCS001M;;;;BCS G06T4E1-POM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4E1-PSM15C-EP02;Уточнить цену;"Артикул; BCS G06T4E1-PSM15C-EP02; Код товара; BCS001L; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_psm15c_ep02/;BCS001L;;;;BCS G06T4E1-PSM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-PSC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-PSC15D-EP02; Код товара; BCS00UN; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_psc15d_ep02/;BCS00UN;;;;BCS G34OOI1-PSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
