name;price;info;link;Код товара;Комплектация;Питание;Температура эксплуатации;Артикул;Срок поставки;Аналоговый выход по напряжению, В;Аналоговый выход по току, мА
Индуктивный датчик расстояния Balluff BAW M12MD-UAC70G-S04G;Уточнить цену;"Артикул; BAW M12MD-UAC70G-S04G; Код товара; BAW004J; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12md_uac70g_s04g/;BAW004J;;;;BAW M12MD-UAC70G-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12ME-UAC70G-S04G;Уточнить цену;"Артикул; BAW M12ME-UAC70G-S04G; Код товара; BAW004H; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uac70g_s04g/;BAW004H;;;;BAW M12ME-UAC70G-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP03;Уточнить цену;"Артикул; BAW M12MF2-UAC40F-BP03; Код товара; BAW0017; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp03/;BAW0017;;;;BAW M12MF2-UAC40F-BP03;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MG2-IAC20B-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MG2-IAC20B-BP00,2-GS04; Код товара; BAW0019; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_iac20b_bp00_2_gs04/;BAW0019;;;;BAW M12MG2-IAC20B-BP00,2-GS04;4-6 недель;;0...20
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP03;Уточнить цену;"Артикул; BAW M12MG2-UAC20B-BP03; Код товара; BAW001L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp03/;BAW001L;;;;BAW M12MG2-UAC20B-BP03;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MH1-ICC40F-S04G;Уточнить цену;"Артикул; BAW M12MH1-ICC40F-S04G; Код товара; BAW003N; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mh1_icc40f_s04g/;BAW003N;;;;BAW M12MH1-ICC40F-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12MI-ICC35C-S04G;Уточнить цену;"Артикул; BAW M12MI-ICC35C-S04G; Код товара; BAW004U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_icc35c_s04g/;BAW004U;;;;BAW M12MI-ICC35C-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12MI-UAC20B-S04G;Уточнить цену;"Артикул; BAW M12MI-UAC20B-S04G; Код товара; BAW001P; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_uac20b_s04g/;BAW001P;;;;BAW M12MI-UAC20B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-S04G;Уточнить цену;"Артикул; BAW M18ME-ICC50B-S04G; Код товара; BAW001U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_s04g/;BAW001U;;;;BAW M18ME-ICC50B-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18ME-UAC48B-BP01,5-GS04-003;Уточнить цену;"Артикул; BAW M18ME-UAC48B-BP01,5-GS04-003; Код товара; BAW003T; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac48b_bp01_5_gs04_003/;BAW003T;;;;BAW M18ME-UAC48B-BP01,5-GS04-003;4-6 недель;0...10;
